Time,Distance
2023-04-20 06:17:26.122182,2.86447
2023-04-20 06:17:26.123182,2.8022
2023-04-20 06:17:26.124182,2.73681
2023-04-20 06:17:26.125182,2.66832
2023-04-20 06:17:26.126182,2.60293
2023-04-20 06:17:26.127182,2.53443
2023-04-20 06:17:26.128182,2.46282
2023-04-20 06:17:26.129182,2.39432
2023-04-20 06:17:26.130182,2.3196
2023-04-20 06:17:26.131182,2.24487
2023-04-20 06:17:26.132182,2.17326
2023-04-20 06:17:26.133182,2.09542
2023-04-20 06:17:26.134182,2.01758
2023-04-20 06:17:26.135182,1.93663
2023-04-20 06:17:26.136182,1.85568
2023-04-20 06:17:26.137182,1.77784
2023-04-20 06:17:26.138182,1.69377
2023-04-20 06:17:26.139182,1.61282
2023-04-20 06:17:26.140182,1.53187
2023-04-20 06:17:26.141182,1.45092
2023-04-20 06:17:26.142182,1.36996
2023-04-20 06:17:26.143182,1.2859
2023-04-20 06:17:26.144182,1.20183
2023-04-20 06:17:26.145182,1.11777
2023-04-20 06:17:26.146182,1.02747
2023-04-20 06:17:26.147182,0.94029
2023-04-20 06:17:26.148182,0.85
2023-04-20 06:17:26.149182,0.76282
2023-04-20 06:17:26.150182,0.67253
2023-04-20 06:17:26.151182,0.58223
2023-04-20 06:17:26.152182,0.48883
2023-04-20 06:17:26.153182,0.39853
2023-04-20 06:17:26.154182,0.30201
2023-04-20 06:17:26.155182,0.20861
2023-04-20 06:17:26.156182,0.1152
2023-04-20 06:17:26.157182,0.02179
2023-04-20 06:17:26.158182,-0.07161
2023-04-20 06:17:26.159182,-0.15879
2023-04-20 06:17:26.160182,-0.24908
2023-04-20 06:17:26.161182,-0.33938
2023-04-20 06:17:26.162182,-0.42656
2023-04-20 06:17:26.163182,-0.51374
2023-04-20 06:17:26.164182,-0.59469
2023-04-20 06:17:26.165182,-0.67875
2023-04-20 06:17:26.166182,-0.75971
2023-04-20 06:17:26.167182,-0.84066
2023-04-20 06:17:26.168182,-0.92161
2023-04-20 06:17:26.169182,-0.99945
2023-04-20 06:17:26.170182,-1.07418
2023-04-20 06:17:26.171182,-1.15201
2023-04-20 06:17:26.172182,-1.22674
2023-04-20 06:17:26.173182,-1.29835
2023-04-20 06:17:26.174182,-1.36996
2023-04-20 06:17:26.175182,-1.43535
2023-04-20 06:17:26.176182,-1.50385
2023-04-20 06:17:26.177182,-1.56923
2023-04-20 06:17:26.178182,-1.6315
2023-04-20 06:17:26.179182,-1.69689
2023-04-20 06:17:26.180182,-1.75604
2023-04-20 06:17:26.181182,-1.81209
2023-04-20 06:17:26.182182,-1.87125
2023-04-20 06:17:26.183182,-1.92418
2023-04-20 06:17:26.184182,-1.97711
2023-04-20 06:17:26.185182,-2.02692
2023-04-20 06:17:26.186182,-2.07051
2023-04-20 06:17:26.187182,-2.1141
2023-04-20 06:17:26.188182,-2.15458
2023-04-20 06:17:26.189182,-2.19194
2023-04-20 06:17:26.190182,-2.22619
2023-04-20 06:17:26.191182,-2.25733
2023-04-20 06:17:26.192182,-2.28846
2023-04-20 06:17:26.193182,-2.31337
2023-04-20 06:17:26.194182,-2.33516
2023-04-20 06:17:26.195182,-2.36007
2023-04-20 06:17:26.196182,-2.37875
2023-04-20 06:17:26.197182,-2.39432
2023-04-20 06:17:26.198182,-2.40366
2023-04-20 06:17:26.199182,-2.413
2023-04-20 06:17:26.200182,-2.413
2023-04-20 06:17:26.201182,-2.413
2023-04-20 06:17:26.202182,-2.413
2023-04-20 06:17:26.203182,-2.413
2023-04-20 06:17:26.204182,-2.413
2023-04-20 06:17:26.205182,-2.40366
2023-04-20 06:17:26.206182,-2.39432
2023-04-20 06:17:26.207182,-2.37875
2023-04-20 06:17:26.208182,-2.36007
2023-04-20 06:17:26.209182,-2.33828
2023-04-20 06:17:26.210182,-2.31648
2023-04-20 06:17:26.211182,-2.28846
2023-04-20 06:17:26.212182,-2.26044
2023-04-20 06:17:26.213182,-2.2293
2023-04-20 06:17:26.214182,-2.19505
2023-04-20 06:17:26.215182,-2.15769
2023-04-20 06:17:26.216182,-2.11722
2023-04-20 06:17:26.217182,-2.07363
2023-04-20 06:17:26.218182,-2.02692
2023-04-20 06:17:26.219182,-1.97711
2023-04-20 06:17:26.220182,-1.92418
2023-04-20 06:17:26.221182,-1.87125
2023-04-20 06:17:26.222182,-1.81209
2023-04-20 06:17:26.223182,-1.75604
2023-04-20 06:17:26.224182,-1.69377
2023-04-20 06:17:26.225182,-1.6315
2023-04-20 06:17:26.226182,-1.56923
2023-04-20 06:17:26.227182,-1.50385
2023-04-20 06:17:26.228182,-1.43535
2023-04-20 06:17:26.229182,-1.36685
