Controller name: ILD1420, Controller serial number: 18040260, Controller option: 000, Controller article number: 4120216, Measurement range: 200.000 mm, Measurement rate: 1.000 kHz, Controller software version: 001.028, Controller hardware revision: 01, Boot loader version: 001.006, CableHead: : Wire, User level: 1, Default user: 1, Echo: 0, Display unit: 0: mm, Trigger mode: 0: none, Trigger moment: 0: input, Trigger count: 1, Multi function input mode: 0: none, Multi function input level: 0: high, Laser power: 0: full, Region of interest start: 0, Region of interest end: 511, Average type: 3: median, Median average count: 9, Master value set: 0: off, Data out interface: 0: Web diagram, Resampling count: 1, Resampling RS422 output: 0: off, Resampling analog output: 0: off, Hold last valid value: -1: show all error values, Error output1: 1: on, Error level output1: 0 NPN, Key function: 2: Teach, Analog scale mode: 0: standard, Current settings names: 1000Hz, Available settings names: 1000Hz, 1000 Hz, Preset names: Standard, Distance1 RS422 output: 1: on, Shutter time RS422 output: 0: off, Measurement value counter RS422 output: 0: off, Timestamp high word RS422 output: 0: off, Timestamp low word RS422 output: 0: off, Intensity RS422 output: 0: off, State RS422 output: 0: off, Distance uncalibrated RS422 output: 0: off, 
DAQ-Start-Time:, 2023-04-12 09:53:34.961, 
Snapshot Time Stamp, Distance [mm]
2023-04-12 09:54:26.813403,   19.91007
2023-04-12 09:54:26.814403,   19.87894
2023-04-12 09:54:26.815403,   19.84469
2023-04-12 09:54:26.816403,   19.81355
2023-04-12 09:54:26.817403,   19.77619
2023-04-12 09:54:26.818403,   19.74194
2023-04-12 09:54:26.819403,   19.70769
2023-04-12 09:54:26.820403,   19.67344
2023-04-12 09:54:26.821403,   19.64231
2023-04-12 09:54:26.822403,   19.60806
2023-04-12 09:54:26.823403,   19.57692
2023-04-12 09:54:26.824403,   19.54579
2023-04-12 09:54:26.825403,   19.52088
2023-04-12 09:54:26.826403,   19.49597
2023-04-12 09:54:26.827403,   19.47106
2023-04-12 09:54:26.828403,   19.45238
2023-04-12 09:54:26.829403,   19.43370
2023-04-12 09:54:26.830403,   19.42125
2023-04-12 09:54:26.831403,   19.40879
2023-04-12 09:54:26.832403,   19.39945
2023-04-12 09:54:26.833403,   19.39945
2023-04-12 09:54:26.834403,   19.39945
2023-04-12 09:54:26.835403,   19.39945
2023-04-12 09:54:26.836403,   19.39945
2023-04-12 09:54:26.837403,   19.40568
2023-04-12 09:54:26.838403,   19.41502
2023-04-12 09:54:26.839403,   19.43059
2023-04-12 09:54:26.840403,   19.44615
2023-04-12 09:54:26.841403,   19.46484
2023-04-12 09:54:26.842403,   19.48663
2023-04-12 09:54:26.843403,   19.51154
2023-04-12 09:54:26.844403,   19.53956
2023-04-12 09:54:26.845403,   19.56758
2023-04-12 09:54:26.846403,   19.59872
2023-04-12 09:54:26.847403,   19.62985
2023-04-12 09:54:26.848403,   19.66410
2023-04-12 09:54:26.849403,   19.69524
2023-04-12 09:54:26.850403,   19.72949
2023-04-12 09:54:26.851403,   19.76374
2023-04-12 09:54:26.852403,   19.79799
2023-04-12 09:54:26.853403,   19.83223
2023-04-12 09:54:26.854403,   19.86648
2023-04-12 09:54:26.855403,   19.89762
2023-04-12 09:54:26.856403,   19.92875
2023-04-12 09:54:26.857403,   19.95678
2023-04-12 09:54:26.858403,   19.98480
2023-04-12 09:54:26.859403,   20.00971
2023-04-12 09:54:26.860403,   20.03462
2023-04-12 09:54:26.861403,   20.05641
2023-04-12 09:54:26.862403,   20.07509
2023-04-12 09:54:26.863403,   20.09066
2023-04-12 09:54:26.864403,   20.10311
2023-04-12 09:54:26.865403,   20.11245
2023-04-12 09:54:26.866403,   20.11245
2023-04-12 09:54:26.867403,   20.11245
2023-04-12 09:54:26.868403,   20.11245
2023-04-12 09:54:26.869403,   20.11245
2023-04-12 09:54:26.870403,   20.11245
2023-04-12 09:54:26.871403,   20.10311
2023-04-12 09:54:26.872403,   20.09066
2023-04-12 09:54:26.873403,   20.07509
2023-04-12 09:54:26.874403,   20.05641
2023-04-12 09:54:26.875403,   20.03773
2023-04-12 09:54:26.876403,   20.01593
2023-04-12 09:54:26.877403,   19.98791
2023-04-12 09:54:26.878403,   19.95678
2023-04-12 09:54:26.879403,   19.92875
2023-04-12 09:54:26.880403,   19.89762
2023-04-12 09:54:26.881403,   19.86648
2023-04-12 09:54:26.882403,   19.83223
2023-04-12 09:54:26.883403,   19.80110
2023-04-12 09:54:26.884403,   19.76374
2023-04-12 09:54:26.885403,   19.72949
2023-04-12 09:54:26.886403,   19.69524
2023-04-12 09:54:26.887403,   19.66410
2023-04-12 09:54:26.888403,   19.62985
2023-04-12 09:54:26.889403,   19.59872
2023-04-12 09:54:26.890403,   19.56758
2023-04-12 09:54:26.891403,   19.53645
2023-04-12 09:54:26.892403,   19.51154
2023-04-12 09:54:26.893403,   19.48663
2023-04-12 09:54:26.894403,   19.46484
2023-04-12 09:54:26.895403,   19.44615
2023-04-12 09:54:26.896403,   19.43059
2023-04-12 09:54:26.897403,   19.41502
2023-04-12 09:54:26.898403,   19.40568
2023-04-12 09:54:26.899403,   19.39945
2023-04-12 09:54:26.900403,   19.39945
2023-04-12 09:54:26.901403,   19.39945
2023-04-12 09:54:26.902403,   19.39945
2023-04-12 09:54:26.903403,   19.39945
2023-04-12 09:54:26.904403,   19.40879
2023-04-12 09:54:26.905403,   19.42125
2023-04-12 09:54:26.906403,   19.43370
2023-04-12 09:54:26.907403,   19.45238
2023-04-12 09:54:26.908403,   19.47106
2023-04-12 09:54:26.909403,   19.49597
2023-04-12 09:54:26.910403,   19.52088
2023-04-12 09:54:26.911403,   19.54890
2023-04-12 09:54:26.912403,   19.57692
2023-04-12 09:54:26.913403,   19.61117
2023-04-12 09:54:26.914403,   19.64231
2023-04-12 09:54:26.915403,   19.67344
2023-04-12 09:54:26.916403,   19.70769
2023-04-12 09:54:26.917403,   19.74194
2023-04-12 09:54:26.918403,   19.77619
2023-04-12 09:54:26.919403,   19.81044
2023-04-12 09:54:26.920403,   19.84469
2023-04-12 09:54:26.921403,   19.87582
2023-04-12 09:54:26.922403,   19.90696
2023-04-12 09:54:26.923403,   19.93810
2023-04-12 09:54:26.924403,   19.96612
2023-04-12 09:54:26.925403,   19.99414
2023-04-12 09:54:26.926403,   20.01905
2023-04-12 09:54:26.927403,   20.04084
2023-04-12 09:54:26.928403,   20.06264
2023-04-12 09:54:26.929403,   20.08132
2023-04-12 09:54:26.930403,   20.09377
2023-04-12 09:54:26.931403,   20.10623
2023-04-12 09:54:26.932403,   20.11557
2023-04-12 09:54:26.933403,   20.11557
2023-04-12 09:54:26.934403,   20.11557
2023-04-12 09:54:26.935403,   20.11557
2023-04-12 09:54:26.936403,   20.11557
2023-04-12 09:54:26.937403,   20.10934
2023-04-12 09:54:26.938403,   20.10000
2023-04-12 09:54:26.939403,   20.08755
2023-04-12 09:54:26.940403,   20.06886
2023-04-12 09:54:26.941403,   20.05018
2023-04-12 09:54:26.942403,   20.03150
2023-04-12 09:54:26.943403,   20.00659
2023-04-12 09:54:26.944403,   19.97857
2023-04-12 09:54:26.945403,   19.94744
2023-04-12 09:54:26.946403,   19.91941
2023-04-12 09:54:26.947403,   19.88828
2023-04-12 09:54:26.948403,   19.85714
2023-04-12 09:54:26.949403,   19.82289
2023-04-12 09:54:26.950403,   19.78864
2023-04-12 09:54:26.951403,   19.75128
2023-04-12 09:54:26.952403,   19.72015
2023-04-12 09:54:26.953403,   19.68590
2023-04-12 09:54:26.954403,   19.65165
2023-04-12 09:54:26.955403,   19.62051
2023-04-12 09:54:26.956403,   19.58938
2023-04-12 09:54:26.957403,   19.55824
2023-04-12 09:54:26.958403,   19.53022
2023-04-12 09:54:26.959403,   19.50220
2023-04-12 09:54:26.960403,   19.48040
2023-04-12 09:54:26.961403,   19.45861
2023-04-12 09:54:26.962403,   19.43993
