# Data acquisition time,Epoch time (ms),Distance
2023-04-20 06:13:08.169182,1681938788169.18,-2.35696
2023-04-20 06:13:08.170182,1681938788170.18,-2.46282
2023-04-20 06:13:08.171182,1681938788171.18,-2.56557
2023-04-20 06:13:08.172182,1681938788172.18,-2.66832
2023-04-20 06:13:08.173182,1681938788173.18,-2.77729
2023-04-20 06:13:08.174182,1681938788174.18,-2.88315
2023-04-20 06:13:08.175182,1681938788175.18,-2.9859
2023-04-20 06:13:08.176182,1681938788176.18,-3.08553
2023-04-20 06:13:08.177182,1681938788177.18,-3.18516
2023-04-20 06:13:08.178182,1681938788178.18,-3.28168
2023-04-20 06:13:08.179182,1681938788179.18,-3.37509
2023-04-20 06:13:08.180182,1681938788180.18,-3.4685
2023-04-20 06:13:08.181182,1681938788181.18,-3.56813
2023-04-20 06:13:08.182182,1681938788182.18,-3.66777
2023-04-20 06:13:08.183182,1681938788183.18,-3.76429
2023-04-20 06:13:08.184182,1681938788184.18,-3.85769
2023-04-20 06:13:08.185182,1681938788185.18,-3.9511
2023-04-20 06:13:08.186182,1681938788186.18,-4.04451
2023-04-20 06:13:08.187182,1681938788187.18,-4.13791
2023-04-20 06:13:08.188182,1681938788188.18,-4.23132
2023-04-20 06:13:08.189182,1681938788189.18,-4.32784
2023-04-20 06:13:08.190182,1681938788190.18,-4.42125
2023-04-20 06:13:08.191182,1681938788191.18,-4.51777
2023-04-20 06:13:08.192182,1681938788192.18,-4.60806
2023-04-20 06:13:08.193182,1681938788193.18,-4.70769
2023-04-20 06:13:08.194182,1681938788194.18,-4.79487
2023-04-20 06:13:08.195182,1681938788195.18,-4.88516
2023-04-20 06:13:08.196182,1681938788196.18,-4.96923
2023-04-20 06:13:08.197182,1681938788197.18,-5.05952
2023-04-20 06:13:08.198182,1681938788198.18,-5.14048
2023-04-20 06:13:08.199182,1681938788199.18,-5.22766
2023-04-20 06:13:08.200182,1681938788200.18,-5.30861
2023-04-20 06:13:08.201182,1681938788201.18,-5.39579
2023-04-20 06:13:08.202182,1681938788202.18,-5.4674
2023-04-20 06:13:08.203182,1681938788203.18,-5.54835
2023-04-20 06:13:08.204182,1681938788204.18,-5.61996
2023-04-20 06:13:08.205182,1681938788205.18,-5.6978
2023-04-20 06:13:08.206182,1681938788206.18,-5.76941
2023-04-20 06:13:08.207182,1681938788207.18,-5.84414
2023-04-20 06:13:08.208182,1681938788208.18,-5.91264
2023-04-20 06:13:08.209182,1681938788209.18,-5.98425
2023-04-20 06:13:08.210182,1681938788210.18,-6.05275
2023-04-20 06:13:08.211182,1681938788211.18,-6.12125
2023-04-20 06:13:08.212182,1681938788212.18,-6.18974
2023-04-20 06:13:08.213182,1681938788213.18,-6.25824
2023-04-20 06:13:08.214182,1681938788214.18,-6.32051
2023-04-20 06:13:08.215182,1681938788215.18,-6.3859
2023-04-20 06:13:08.216182,1681938788216.18,-6.44817
2023-04-20 06:13:08.217182,1681938788217.18,-6.51044
2023-04-20 06:13:08.218182,1681938788218.18,-6.5696
2023-04-20 06:13:08.219182,1681938788219.18,-6.62564
