time,cam1_timestamp,cam1_data,cam2_timestamp,cam2_data,cam3_timestamp,cam3_data
1717386379.1059036,1717386379.08605,"time: 1717386379.08605, id: 2, trans: (-0.8639120384997862, -0.10231694261878292, 1.2263633865770067), rot: (-0.8887938994482073, 0.43157613706667003, 0.02781868785568655, 0.15170221759832167)",1717386379.0928442,"time: 1717386379.0928442, id: 2, trans: (-0.37393151725622253, -0.02281767756049792, 0.9999521013866766), rot: (-0.9622894820179985, 0.2671262358496733, 0.032478283095146596, 0.0398458033613146)",1717386379.092512,"time: 1717386379.092512, id: 2, trans: (0.02238130718509034, -0.14862368875426485, 0.9077628614116359), rot: (-0.9965183747412426, 0.04764095853440233, 0.02927220581367637, 0.061843397705796846)"
1717386379.1167088,1717386379.1021624,"time: 1717386379.1021624, id: 2, trans: (-0.863672715584445, -0.10441976191008452, 1.2258144412739642), rot: (-0.888808255483604, 0.43137351033163684, 0.02747191012942201, 0.15225660485573156)",1717386379.0758753,"time: 1717386379.0758753, id: 2, trans: (-0.37393151725622253, -0.02281767756049792, 0.9999521013866766), rot: (-0.9622894820179985, 0.2671262358496733, 0.032478283095146596, 0.0398458033613146)",1717386379.1089764,"time: 1717386379.1089764, id: 2, trans: (0.02238130718509034, -0.14862368875426485, 0.9077628614116359), rot: (-0.9965183747412426, 0.04764095853440233, 0.02927220581367637, 0.061843397705796846)"
1717386379.1378322,1717386379.1188505,"time: 1717386379.1188505, id: 2, trans: (-0.863672715584445, -0.10441976191008452, 1.2258144412739642), rot: (-0.888808255483604, 0.43137351033163684, 0.02747191012942201, 0.15225660485573156)",1717386379.1094756,"time: 1717386379.1094756, id: 2, trans: (-0.3738492560089429, -0.023367483358004024, 1.0003569635736347), rot: (-0.9623371979666394, 0.2669225616793993, 0.03246983598261534, 0.04006461315782833)",1717386379.1264338,"time: 1717386379.1264338, id: 2, trans: (0.02247407308086641, -0.1499099988942631, 0.9076582610018361), rot: (-0.9964727686478569, 0.047531977035243506, 0.029523663734374907, 0.0625386742911558)"
1717386379.154124,1717386379.1361847,"time: 1717386379.1361847, id: 2, trans: (-0.8639473605031661, -0.10273099535250343, 1.2254044558009047), rot: (-0.888701029863822, 0.4317677514119799, 0.027496691897007493, 0.15175974530271835)",1717386379.1421044,"time: 1717386379.1421044, id: 2, trans: (-0.374636557833157, -0.027901149930122084, 0.9994117103230126), rot: (-0.9621726580375172, 0.26728196849553754, 0.03168446118987827, 0.04219265767022038)",1717386379.1435337,"time: 1717386379.1435337, id: 2, trans: (0.02247407308086641, -0.1499099988942631, 0.9076582610018361), rot: (-0.9964727686478569, 0.047531977035243506, 0.029523663734374907, 0.0625386742911558)"
1717386379.176721,1717386379.1532938,"time: 1717386379.1532938, id: 2, trans: (-0.8639473605031661, -0.10273099535250343, 1.2254044558009047), rot: (-0.888701029863822, 0.4317677514119799, 0.027496691897007493, 0.15175974530271835)",1717386379.1596904,"time: 1717386379.1596904, id: 2, trans: (-0.374636557833157, -0.027901149930122084, 0.9994117103230126), rot: (-0.9621726580375172, 0.26728196849553754, 0.03168446118987827, 0.04219265767022038)",1717386379.160239,"time: 1717386379.160239, id: 2, trans: (0.021542152051466357, -0.1509327149944408, 0.9075892748280175), rot: (-0.9964008312164465, 0.04829312719035149, 0.029416487371104052, 0.06314924930746704)"
1717386379.1870012,1717386379.1693137,"time: 1717386379.1693137, id: 2, trans: (-0.8624842083601978, -0.10431789389152193, 1.2271795107369827), rot: (-0.8892056909332252, 0.430628418535046, 0.027827722992190933, 0.15198033489580337)",1717386379.126805,"time: 1717386379.126805, id: 2, trans: (-0.3738492560089429, -0.023367483358004024, 1.0003569635736347), rot: (-0.9623371979666394, 0.2669225616793993, 0.03246983598261534, 0.04006461315782833)",1717386379.1765885,"time: 1717386379.1765885, id: 2, trans: (0.021542152051466357, -0.1509327149944408, 0.9075892748280175), rot: (-0.9964008312164465, 0.04829312719035149, 0.029416487371104052, 0.06314924930746704)"
1717386379.203364,1717386379.1859577,"time: 1717386379.1859577, id: 2, trans: (-0.8624842083601978, -0.10431789389152193, 1.2271795107369827), rot: (-0.8892056909332252, 0.430628418535046, 0.027827722992190933, 0.15198033489580337)",1717386379.1772122,"time: 1717386379.1772122, id: 2, trans: (-0.37320091801941874, -0.023291617625895697, 1.0007841692348465), rot: (-0.9624703148593646, 0.26639768563204397, 0.03284610549382924, 0.04005370717292694)",1717386379.1919956,"time: 1717386379.1919956, id: 2, trans: (0.02477566915065894, -0.14797825494839215, 0.9080757094987486), rot: (-0.9966428537868419, 0.04569516370469274, 0.029226942573055824, 0.06132503434530182)"
1717386379.2194273,1717386379.202672,"time: 1717386379.202672, id: 2, trans: (-0.8649008050192677, -0.1025967835993153, 1.2245649954820692), rot: (-0.8883836201536265, 0.4323140404606769, 0.027489200609767575, 0.15206399216493394)",1717386379.1938527,"time: 1717386379.1938527, id: 2, trans: (-0.37320091801941874, -0.023291617625895697, 1.0007841692348465), rot: (-0.9624703148593646, 0.26639768563204397, 0.03284610549382924, 0.04005370717292694)",1717386379.2096884,"time: 1717386379.2096884, id: 2, trans: (0.02477566915065894, -0.14797825494839215, 0.9080757094987486), rot: (-0.9966428537868419, 0.04569516370469274, 0.029226942573055824, 0.06132503434530182)"
1717386379.241028,1717386379.2193987,"time: 1717386379.2193987, id: 2, trans: (-0.8649008050192677, -0.1025967835993153, 1.2245649954820692), rot: (-0.8883836201536265, 0.4323140404606769, 0.027489200609767575, 0.15206399216493394)",1717386379.226782,"time: 1717386379.226782, id: 2, trans: (-0.3752892729345249, -0.025007837783144356, 0.9993117792894907), rot: (-0.962030656448452, 0.2679834776233625, 0.03175975308430594, 0.04090464348057893)",1717386379.2264206,"time: 1717386379.2264206, id: 2, trans: (0.021133483975171168, -0.15105773009919019, 0.9075646847086829), rot: (-0.9963779442550298, 0.04862522812590889, 0.02944463255692455, 0.063242335546782)"
1717386379.2533708,1717386379.236011,"time: 1717386379.236011, id: 2, trans: (-0.8642967405573082, -0.10107405776147414, 1.2259717557210712), rot: (-0.8886562301933856, 0.4319620252990864, 0.02784178577899843, 0.15140590544172397)",1717386379.2102654,"time: 1717386379.2102654, id: 2, trans: (-0.3752892729345249, -0.025007837783144356, 0.9993117792894907), rot: (-0.962030656448452, 0.2679834776233625, 0.03175975308430594, 0.04090464348057893)",1717386379.2434263,"time: 1717386379.2434263, id: 2, trans: (0.021133483975171168, -0.15105773009919019, 0.9075646847086829), rot: (-0.9963779442550298, 0.04862522812590889, 0.02944463255692455, 0.063242335546782)"
1717386379.2699113,1717386379.252503,"time: 1717386379.252503, id: 2, trans: (-0.8642967405573082, -0.10107405776147414, 1.2259717557210712), rot: (-0.8886562301933856, 0.4319620252990864, 0.02784178577899843, 0.15140590544172397)",1717386379.2432642,"time: 1717386379.2432642, id: 2, trans: (-0.37717183882564725, -0.024175204945332367, 0.9991326747258789), rot: (-0.9616665209886089, 0.26933098233666064, 0.031588787339076864, 0.040748900324811335)",1717386379.2587128,"time: 1717386379.2587128, id: 2, trans: (0.024395644913189046, -0.15261156614477098, 0.9070717146752879), rot: (-0.9964647525841192, 0.04591438474950613, 0.029409415040806262, 0.06391363264204415)"
1717386379.2860804,1717386379.269155,"time: 1717386379.269155, id: 2, trans: (-0.8631411375852353, -0.10241606231347213, 1.226759152516417), rot: (-0.888986877547173, 0.4311888580209464, 0.028004203112198825, 0.1516385995568752)",1717386379.2598767,"time: 1717386379.2598767, id: 2, trans: (-0.37717183882564725, -0.024175204945332367, 0.9991326747258789), rot: (-0.9616665209886089, 0.26933098233666064, 0.031588787339076864, 0.040748900324811335)",1717386379.2764785,"time: 1717386379.2764785, id: 2, trans: (0.024395644913189046, -0.15261156614477098, 0.9070717146752879), rot: (-0.9964647525841192, 0.04591438474950613, 0.029409415040806262, 0.06391363264204415)"
1717386379.3003154,1717386379.2873619,"time: 1717386379.2873619, id: 2, trans: (-0.8631411375852353, -0.10241606231347213, 1.226759152516417), rot: (-0.888986877547173, 0.4311888580209464, 0.028004203112198825, 0.1516385995568752)",1717386379.2777803,"time: 1717386379.2777803, id: 2, trans: (-0.3725904047493142, -0.029115513851344334, 1.0012445940862962), rot: (-0.962708511102005, 0.26541137990665786, 0.031226639304354036, 0.04211910570703257)",1717386379.29289,"time: 1717386379.29289, id: 2, trans: (0.01986971920295609, -0.14599608064483424, 0.9088584355341556), rot: (-0.9964996394490286, 0.04977101640586925, 0.029166595827880875, 0.06050309241432056)"
1717386379.3247225,1717386379.3027074,"time: 1717386379.3027074, id: 2, trans: (-0.8624967812022671, -0.10328717497238908, 1.2274493386473517), rot: (-0.8892315849109516, 0.4306951804238692, 0.02789624187132464, 0.15162667854261233)",1717386379.2939146,"time: 1717386379.2939146, id: 2, trans: (-0.3725904047493142, -0.029115513851344334, 1.0012445940862962), rot: (-0.962708511102005, 0.26541137990665786, 0.031226639304354036, 0.04211910570703257)",1717386379.3117425,"time: 1717386379.3117425, id: 2, trans: (0.01986971920295609, -0.14599608064483424, 0.9088584355341556), rot: (-0.9964996394490286, 0.04977101640586925, 0.029166595827880875, 0.06050309241432056)"
1717386379.3447204,1717386379.3191745,"time: 1717386379.3191745, id: 2, trans: (-0.8624967812022671, -0.10328717497238908, 1.2274493386473517), rot: (-0.8892315849109516, 0.4306951804238692, 0.02789624187132464, 0.15162667854261233)",1717386379.3093028,"time: 1717386379.3093028, id: 2, trans: (-0.3751674936223729, -0.024500545674886222, 1.0003925177461754), rot: (-0.9621188534939894, 0.267686150100229, 0.0319427131061461, 0.04063372829740704)",1717386379.3300385,"time: 1717386379.3300385, id: 2, trans: (0.02169930885513412, -0.14845007710861027, 0.9078339017535978), rot: (-0.9964936068371926, 0.04820037752208385, 0.029313103620938974, 0.06178961964148371)"
1717386379.3538523,1717386379.336006,"time: 1717386379.336006, id: 2, trans: (-0.8638956118570073, -0.10479222360871591, 1.2255667793961145), rot: (-0.8888196910152965, 0.43146329395176974, 0.02692356358368029, 0.15203323504983085)",1717386379.3427477,"time: 1717386379.3427477, id: 2, trans: (-0.37375231252764896, -0.025173019463328027, 1.000304233865481), rot: (-0.9623606442727407, 0.26672131117680703, 0.03236801112187104, 0.04091508737733178)",1717386379.343463,"time: 1717386379.343463, id: 2, trans: (0.02169930885513412, -0.14845007710861027, 0.9078339017535978), rot: (-0.9964936068371926, 0.04820037752208385, 0.029313103620938974, 0.06178961964148371)"
1717386379.3660393,1717386379.3530097,"time: 1717386379.3530097, id: 2, trans: (-0.8638956118570073, -0.10479222360871591, 1.2255667793961145), rot: (-0.8888196910152965, 0.43146329395176974, 0.02692356358368029, 0.15203323504983085)",1717386379.3256574,"time: 1717386379.3256574, id: 2, trans: (-0.3751674936223729, -0.024500545674886222, 1.0003925177461754), rot: (-0.9621188534939894, 0.267686150100229, 0.0319427131061461, 0.04063372829740704)",1717386379.359865,"time: 1717386379.359865, id: 2, trans: (0.023187302675820018, -0.14596295793037012, 0.908797303142768), rot: (-0.9966435062086993, 0.04703725160430122, 0.02923582571990861, 0.060286689973983405)"
1717386379.3832214,1717386379.369018,"time: 1717386379.369018, id: 2, trans: (-0.8642635037291589, -0.10314743594684804, 1.2252443557460289), rot: (-0.8886791739767063, 0.43188421346500827, 0.027024949190271874, 0.15164103673166246)",1717386379.3600795,"time: 1717386379.3600795, id: 2, trans: (-0.37375231252764896, -0.025173019463328027, 1.000304233865481), rot: (-0.9623606442727407, 0.26672131117680703, 0.03236801112187104, 0.04091508737733178)",1717386379.3757231,"time: 1717386379.3757231, id: 2, trans: (0.023187302675820018, -0.14596295793037012, 0.908797303142768), rot: (-0.9966435062086993, 0.04703725160430122, 0.02923582571990861, 0.060286689973983405)"
1717386379.403418,1717386379.3852665,"time: 1717386379.3852665, id: 2, trans: (-0.8642635037291589, -0.10314743594684804, 1.2252443557460289), rot: (-0.8886791739767063, 0.43188421346500827, 0.027024949190271874, 0.15164103673166246)",1717386379.3764753,"time: 1717386379.3764753, id: 2, trans: (-0.3747343722000543, -0.025723272162855488, 1.0000269626957545), rot: (-0.9621807751015719, 0.26738028755356585, 0.03193182024294616, 0.04118612276826848)",1717386379.3923044,"time: 1717386379.3923044, id: 2, trans: (0.024338797562756906, -0.1522965299557559, 0.9069110279859885), rot: (-0.9964732247688377, 0.04596437807469587, 0.029378930803891062, 0.06375944394221063)"
1717386379.417782,1717386379.4030879,"time: 1717386379.4030879, id: 2, trans: (-0.8636102158102388, -0.10428589031566042, 1.2253130344507768), rot: (-0.8887611327128896, 0.43148368416100275, 0.027420971014857826, 0.15222867545358143)",1717386379.392732,"time: 1717386379.392732, id: 2, trans: (-0.3747343722000543, -0.025723272162855488, 1.0000269626957545), rot: (-0.9621807751015719, 0.26738028755356585, 0.03193182024294616, 0.04118612276826848)",1717386379.4094434,"time: 1717386379.4094434, id: 2, trans: (0.024338797562756906, -0.1522965299557559, 0.9069110279859885), rot: (-0.9964732247688377, 0.04596437807469587, 0.029378930803891062, 0.06375944394221063)"
1717386379.4326003,1717386379.4193842,"time: 1717386379.4193842, id: 2, trans: (-0.8636102158102388, -0.10428589031566042, 1.2253130344507768), rot: (-0.8887611327128896, 0.43148368416100275, 0.027420971014857826, 0.15222867545358143)",1717386379.4099412,"time: 1717386379.4099412, id: 2, trans: (-0.373845237305482, -0.021969629941781504, 1.0008347103211261), rot: (-0.9623420932287358, 0.26691876107373813, 0.0329751524216565, 0.039556414268287696)",1717386379.4258182,"time: 1717386379.4258182, id: 2, trans: (0.019937574462055106, -0.14478916745461298, 0.9090969646317661), rot: (-0.9965418224219933, 0.04973233676198193, 0.029168160658587676, 0.05983568540461393)"
1717386379.4513078,1717386379.4354057,"time: 1717386379.4354057, id: 2, trans: (-0.8617817416228957, -0.1036159653242161, 1.2287330964092575), rot: (-0.8895462790222243, 0.4300897783786834, 0.028038326553500532, 0.15147294232294237)",1717386379.4419205,"time: 1717386379.4419205, id: 2, trans: (-0.3752962669108276, -0.024705420949153647, 0.9988988692992696), rot: (-0.961996390854337, 0.26811413648124593, 0.031815694727124075, 0.04081072617800011)",1717386379.4414768,"time: 1717386379.4414768, id: 2, trans: (0.019937574462055106, -0.14478916745461298, 0.9090969646317661), rot: (-0.9965418224219933, 0.04973233676198193, 0.029168160658587676, 0.05983568540461393)"
