time, id, x, y, z, qx, qy, qz, qw, image_error, object_error, fiducial_area
1717086194.232594470, 0, 0.119537, -0.0415179, 0.941154, 0.996223, -0.0300972, 0.0746856, 0.0325031, 0.00125952, 0.00159606, 0
1717086194.249348758, 0, 0.119537, -0.0415179, 0.941154, 0.996223, -0.0300972, 0.0746856, 0.0325031, 0.00125952, 0.00159606, 0
1717086194.266286916, 0, 0.12539, -0.0304676, 0.940924, 0.995999, -0.0346043, 0.0727405, 0.0386952, 0.000682, 0.000865105, 0
1717086194.282794067, 0, 0.12539, -0.0304676, 0.940924, 0.995999, -0.0346043, 0.0727405, 0.0386952, 0.000682, 0.000865105, 0
1717086194.299642374, 0, 0.125145, -0.0368038, 0.940185, 0.996089, -0.0345392, 0.0732215, 0.0353957, 1.93774e-05, 2.45662e-05, 0
1717086194.316439138, 0, 0.125145, -0.0368038, 0.940185, 0.996089, -0.0345392, 0.0732215, 0.0353957, 1.93774e-05, 2.45662e-05, 0
1717086194.333162460, 0, 0.126895, -0.043007, 0.939638, 0.99607, -0.03613, 0.0740757, 0.0324265, 0.000292437, 0.000370765, 0
1717086194.350266601, 0, 0.126895, -0.043007, 0.939638, 0.99607, -0.03613, 0.0740757, 0.0324265, 0.000292437, 0.000370765, 0
1717086194.366211654, 0, 0.117513, -0.0400928, 0.941616, 0.996221, -0.0284525, 0.0750922, 0.0330891, 0.00166663, 0.00211092, 0
1717086194.382932994, 0, 0.117513, -0.0400928, 0.941616, 0.996221, -0.0284525, 0.0750922, 0.0330891, 0.00166663, 0.00211092, 0
1717086194.399474142, 0, 0.117674, -0.0423311, 0.941621, 0.996268, -0.0285635, 0.0749468, 0.0318937, 0.000703929, 0.000892403, 0
1717086194.416527775, 0, 0.117674, -0.0423311, 0.941621, 0.996268, -0.0285635, 0.0749468, 0.0318937, 0.000703929, 0.000892403, 0
1717086194.433258568, 0, 0.121228, -0.046476, 0.940979, 0.99628, -0.0314331, 0.0744066, 0.0300215, 4.30635e-05, 5.46808e-05, 0
1717086194.449599820, 0, 0.121228, -0.046476, 0.940979, 0.99628, -0.0314331, 0.0744066, 0.0300215, 4.30635e-05, 5.46808e-05, 0
1717086194.466316232, 0, 0.133469, -0.0283741, 0.939095, 0.995717, -0.0412195, 0.072114, 0.0406074, 0.0002176, 0.000275816, 0
1717086194.483059001, 0, 0.133469, -0.0283741, 0.939095, 0.995717, -0.0412195, 0.072114, 0.0406074, 0.0002176, 0.000275816, 0
1717086194.499796683, 0, 0.127289, -0.0234264, 0.940742, 0.995868, -0.0360017, 0.0717368, 0.0424877, 0.000626187, 0.00079414, 0
1717086194.516560057, 0, 0.127289, -0.0234264, 0.940742, 0.995868, -0.0360017, 0.0717368, 0.0424877, 0.000626187, 0.00079414, 0
1717086194.533303577, 0, 0.133706, -0.039293, 0.938447, 0.99587, -0.0416169, 0.072726, 0.0349484, 6.38758e-05, 8.10319e-05, 0
1717086194.549999761, 0, 0.133706, -0.039293, 0.938447, 0.99587, -0.0416169, 0.072726, 0.0349484, 6.38758e-05, 8.10319e-05, 0
1717086194.566846192, 0, 0.120524, -0.0406175, 0.941481, 0.996242, -0.0307505, 0.0739477, 0.0329812, 9.46701e-05, 0.000120168, 0
1717086194.583597198, 0, 0.120524, -0.0406175, 0.941481, 0.996242, -0.0307505, 0.0739477, 0.0329812, 9.46701e-05, 0.000120168, 0
1717086194.599796249, 0, 0.131398, -0.0329572, 0.93924, 0.995851, -0.0396182, 0.0725703, 0.0380155, 0.00011261, 0.00014276, 0
1717086194.616537099, 0, 0.131398, -0.0329572, 0.93924, 0.995851, -0.0396182, 0.0725703, 0.0380155, 0.00011261, 0.00014276, 0
1717086194.633344444, 0, 0.129716, -0.0281478, 0.940167, 0.995882, -0.0380472, 0.071766, 0.0402642, 0.000241445, 0.000306414, 0
1717086194.650315024, 0, 0.129716, -0.0281478, 0.940167, 0.995882, -0.0380472, 0.071766, 0.0402642, 0.000241445, 0.000306414, 0
1717086194.666560216, 0, 0.131363, -0.0259752, 0.939829, 0.99578, -0.0393645, 0.0717204, 0.0415781, 6.91233e-06, 8.76762e-06, 0
1717086194.683379490, 0, 0.131363, -0.0259752, 0.939829, 0.99578, -0.0393645, 0.0717204, 0.0415781, 6.91233e-06, 8.76762e-06, 0
1717086194.699798400, 0, 0.133898, -0.0381916, 0.938191, 0.99583, -0.0418073, 0.0728658, 0.0355698, 7.28216e-05, 9.22932e-05, 0
1717086194.716472696, 0, 0.133898, -0.0381916, 0.938191, 0.99583, -0.0418073, 0.0728658, 0.0355698, 7.28216e-05, 9.22932e-05, 0
1717086194.733506036, 0, 0.121735, -0.0401748, 0.940707, 0.996168, -0.0318806, 0.0742836, 0.0333889, 0.000467867, 0.000592842, 0
1717086194.750488477, 0, 0.121735, -0.0401748, 0.940707, 0.996168, -0.0318806, 0.0742836, 0.0333889, 0.000467867, 0.000592842, 0
1717086194.766530985, 0, 0.123276, -0.0419219, 0.940598, 0.99617, -0.0331021, 0.0740726, 0.0325984, 0.000441155, 0.000559621, 0
1717086194.783678140, 0, 0.123276, -0.0419219, 0.940598, 0.99617, -0.0331021, 0.0740726, 0.0325984, 0.000441155, 0.000559621, 0
1717086194.800247812, 0, 0.133739, -0.0372798, 0.938961, 0.995819, -0.0415783, 0.0729138, 0.0360451, 0.000249143, 0.000316156, 0
1717086194.816795973, 0, 0.133739, -0.0372798, 0.938961, 0.995819, -0.0415783, 0.0729138, 0.0360451, 0.000249143, 0.000316156, 0
1717086194.833979968, 0, 0.128138, -0.0265724, 0.940516, 0.995905, -0.0367172, 0.0717642, 0.0409242, 6.38536e-05, 8.10188e-05, 0
1717086194.850720306, 0, 0.128138, -0.0265724, 0.940516, 0.995905, -0.0367172, 0.0717642, 0.0409242, 6.38536e-05, 8.10188e-05, 0
1717086194.866619232, 0, 0.129162, -0.0219703, 0.940731, 0.99583, -0.0374147, 0.0710156, 0.0433528, 0.000199243, 0.000252955, 0
1717086194.883719493, 0, 0.129162, -0.0219703, 0.940731, 0.99583, -0.0374147, 0.0710156, 0.0433528, 0.000199243, 0.000252955, 0
1717086194.900311137, 0, 0.130091, -0.034262, 0.939584, 0.995919, -0.0385295, 0.0726497, 0.0371926, 0.000150965, 0.000191471, 0
1717086194.916675156, 0, 0.130091, -0.034262, 0.939584, 0.995919, -0.0385295, 0.0726497, 0.0371926, 0.000150965, 0.000191471, 0
1717086194.933772964, 0, 0.134991, -0.0391055, 0.938562, 0.99579, -0.0426726, 0.0730734, 0.0352347, 0.000601283, 0.000762984, 0
1717086194.950278121, 0, 0.134991, -0.0391055, 0.938562, 0.99579, -0.0426726, 0.0730734, 0.0352347, 0.000601283, 0.000762984, 0
1717086194.966963465, 0, 0.131405, -0.0413247, 0.938988, 0.995928, -0.0398008, 0.0735197, 0.033733, 0.000694229, 0.000880531, 0
1717086194.983869061, 0, 0.131405, -0.0413247, 0.938988, 0.995928, -0.0398008, 0.0735197, 0.033733, 0.000694229, 0.000880531, 0
1717086195.000035778, 0, 0.129257, -0.0371335, 0.939753, 0.996007, -0.0378558, 0.0726093, 0.035574, 0.000129351, 0.000164199, 0
1717086195.017454708, 0, 0.129257, -0.0371335, 0.939753, 0.996007, -0.0378558, 0.0726093, 0.035574, 0.000129351, 0.000164199, 0
1717086195.033741334, 0, 0.134384, -0.0295745, 0.938832, 0.99573, -0.0419545, 0.0718245, 0.0400313, 4.49628e-05, 5.70213e-05, 0
1717086195.050403427, 0, 0.134384, -0.0295745, 0.938832, 0.99573, -0.0419545, 0.0718245, 0.0400313, 4.49628e-05, 5.70213e-05, 0
1717086195.066776903, 0, 0.130691, -0.0304006, 0.93992, 0.995892, -0.0388643, 0.071791, 0.0391882, 6.72435e-05, 8.53666e-05, 0
1717086195.083411442, 0, 0.130691, -0.0304006, 0.93992, 0.995892, -0.0388643, 0.071791, 0.0391882, 6.72435e-05, 8.53666e-05, 0
1717086195.100417337, 0, 0.133569, -0.0326399, 0.938849, 0.995803, -0.0413614, 0.0720701, 0.0383582, 0.000523097, 0.000663438, 0
1717086195.117291202, 0, 0.133569, -0.0326399, 0.938849, 0.995803, -0.0413614, 0.0720701, 0.0383582, 0.000523097, 0.000663438, 0
1717086195.133679430, 0, 0.130541, -0.0409438, 0.939103, 0.995952, -0.0390773, 0.0735317, 0.0338426, 0.000220244, 0.000279311, 0
1717086195.150293218, 0, 0.130541, -0.0409438, 0.939103, 0.995952, -0.0390773, 0.0735317, 0.0338426, 0.000220244, 0.000279311, 0
1717086195.167355041, 0, 0.134367, -0.0409552, 0.9385, 0.995829, -0.0422101, 0.0732871, 0.0342196, 0.00014048, 0.000178238, 0
1717086195.183645123, 0, 0.134367, -0.0409552, 0.9385, 0.995829, -0.0422101, 0.0732871, 0.0342196, 0.00014048, 0.000178238, 0
